doi,date,downloads,unique_downloads,views,unique_views,version_downloads,version_unique_downloads,version_views,version_unique_views
10.5281/zenodo.1487906,2024-12-16,286,153,269,255,286,153,266,252
10.5281/zenodo.1487761,2024-12-16,1600,721,475,444,1600,721,474,443
10.5281/zenodo.3539263,2024-12-16,594,341,233,223,594,341,232,222
10.5281/zenodo.439066,2024-12-16,775,400,274,258,775,400,272,256
10.5281/zenodo.2641987,2024-12-16,332,175,439,397,325,174,438,396
10.5281/zenodo.3871000,2024-12-16,125,106,176,163,125,106,176,163
10.5281/zenodo.1118980,2024-12-16,2841,1144,271,239,2841,1144,268,236
10.5281/zenodo.6943413,2024-12-16,3037,1914,256,224,3026,1912,254,222
10.5281/zenodo.163340,2024-12-16,179,109,311,299,179,109,311,299
10.5281/zenodo.1182665,2024-12-16,122,80,275,269,122,80,275,269
10.5281/zenodo.259376,2024-12-16,535,321,178,164,535,321,177,163
10.5281/zenodo.3950029,2024-12-16,653,374,342,315,653,374,342,315
10.5281/zenodo.7022749,2024-12-16,1132,755,313,282,792,544,210,179
10.5281/zenodo.4643875,2024-12-16,1288,834,1373,1272,650,451,573,514
10.5281/zenodo.259365,2024-12-16,851,289,220,206,851,289,215,201
10.5281/zenodo.7604810,2024-12-16,89,77,141,131,73,68,116,112
10.5281/zenodo.2574959,2024-12-16,155,127,112,100,155,127,112,100
10.5281/zenodo.1129435,2024-12-16,141,98,171,165,141,98,171,165
10.5281/zenodo.4643862,2024-12-16,684,410,562,535,480,362,226,214
10.5281/zenodo.1118980,2024-12-16,2841,1144,271,239,2841,1144,268,236
10.5281/zenodo.7061800,2024-12-16,952,548,220,196,952,548,220,196
10.5281/zenodo.16319,2024-12-16,1331,966,609,588,1331,966,609,588
10.5281/zenodo.3871590,2024-12-16,154,102,435,428,87,60,240,237
10.5281/zenodo.1293932,2024-12-16,179,119,333,325,179,119,332,324
10.5281/zenodo.6943929,2024-12-16,1153,807,223,202,1153,807,223,202
10.5281/zenodo.1129411,2024-12-16,166,107,196,192,166,107,195,191
10.5281/zenodo.17210,2024-12-16,553,469,380,372,551,467,378,370
10.5281/zenodo.1423090,2024-12-16,290,151,195,185,290,151,193,183
10.5281/zenodo.7103807,2024-12-16,512,336,194,174,512,336,194,174
10.5281/zenodo.6943929,2024-12-16,1153,807,223,202,1153,807,223,202
10.5281/zenodo.7061800,2024-12-16,952,548,220,196,952,548,220,196
10.5281/zenodo.209362,2024-12-16,216,117,139,132,216,117,139,132
10.5281/zenodo.11045073,2024-12-16,54,37,31,29,54,37,31,29
10.5281/zenodo.6992065,2024-12-16,945,483,225,196,945,483,224,195
10.5281/zenodo.4643899,2024-12-16,798,574,819,743,604,443,507,455
10.5281/zenodo.6992065,2024-12-16,945,483,225,196,945,483,224,195
10.5281/zenodo.1487761,2024-12-16,1600,721,475,444,1600,721,474,443
10.5281/zenodo.2574691,2024-12-16,77,62,102,97,76,61,102,97
10.5281/zenodo.1182654,2024-12-16,146,80,179,175,146,80,179,175
10.5281/zenodo.2579061,2024-12-16,78,51,88,82,71,46,58,54
10.5281/zenodo.8333993,2024-12-16,83,50,33,32,83,50,33,32
10.5281/zenodo.3855729,2024-12-16,121,85,300,295,121,85,300,295
10.5281/zenodo.3539263,2024-12-16,594,341,233,223,594,341,232,222
10.5281/zenodo.2580158,2024-12-16,95,55,127,116,95,55,127,116
10.5281/zenodo.6943929,2024-12-16,1153,807,223,202,1153,807,223,202
10.5281/zenodo.1487761,2024-12-16,1600,721,475,444,1600,721,474,443
10.5281/zenodo.1010131,2024-12-16,543,158,246,196,543,158,246,196
10.5281/zenodo.4644028,2024-12-16,723,463,1061,972,566,371,730,664
10.5281/zenodo.163343,2024-12-16,267,158,202,190,267,158,200,188
10.5281/zenodo.7061800,2024-12-16,952,548,220,196,952,548,220,196
10.5281/zenodo.6943413,2024-12-16,3037,1914,256,224,3026,1912,254,222
10.5281/zenodo.3237463,2024-12-16,121,81,71,69,121,81,71,69
10.5281/zenodo.7916287,2024-12-16,67,51,143,134,67,51,143,134
10.5281/zenodo.6943413,2024-12-16,3037,1914,256,224,3026,1912,254,222
10.5281/zenodo.545941,2024-12-16,238,128,291,264,238,128,291,264
10.5281/zenodo.10958387,2024-12-16,73,54,24,23,73,54,24,23
10.5281/zenodo.6943413,2024-12-16,3037,1914,256,224,3026,1912,254,222
10.5281/zenodo.5767451,2024-12-16,2985,1719,528,485,1523,622,358,326
10.5281/zenodo.6943413,2024-12-16,3037,1914,256,224,3026,1912,254,222
10.5281/zenodo.6823118,2024-12-16,31,29,194,192,31,29,194,192
10.5281/zenodo.5767451,2024-12-16,2985,1719,528,485,1523,622,358,326
10.5281/zenodo.14976,2024-12-16,318,191,226,212,318,191,226,212
10.5281/zenodo.887400,2024-12-16,145,110,208,203,145,110,208,203
10.5281/zenodo.5734452,2024-12-16,191,127,523,514,100,74,141,139
10.5281/zenodo.3540513,2024-12-16,848,404,293,283,848,404,293,283
10.5281/zenodo.3434396,2024-12-16,2898,1558,353,319,2898,1558,352,318
10.5281/zenodo.1009607,2024-12-16,1518,831,316,303,1518,831,315,302
10.5281/zenodo.3364460,2024-12-16,137,82,95,86,137,82,95,86
10.5281/zenodo.2582721,2024-12-16,79,62,76,70,79,62,76,70
10.5281/zenodo.7602924,2024-12-16,47,40,113,109,47,40,112,108
10.5281/zenodo.4424292,2024-12-16,240,214,201,186,105,93,81,74
10.5281/zenodo.1293905,2024-12-16,133,88,223,217,133,88,223,217
10.5281/zenodo.4522359,2024-12-16,685,491,420,414,685,491,415,409
10.5281/zenodo.7572990,2024-12-16,842,720,294,277,840,719,293,276
10.5281/zenodo.1182658,2024-12-16,170,102,262,257,170,102,262,257
